Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.500000,8.870000,8.400000,8.850000,8.850000,2559300
2020-01-03,8.670000,8.960000,8.560000,8.780000,8.780000,1687600
2020-01-06,8.670000,9.000000,8.560000,8.980000,8.980000,1532700
2020-01-07,8.980000,9.125000,8.830000,8.990000,8.990000,2183800
2020-01-08,8.970000,9.480000,8.930000,9.360000,9.360000,1925600
2020-01-09,9.490000,9.500000,9.085000,9.210000,9.210000,2577900
2020-01-10,9.190000,9.390000,8.965000,9.350000,9.350000,2109000
2020-01-13,9.390000,9.430000,9.220000,9.360000,9.360000,2714000
2020-01-14,9.240000,9.290000,8.760000,8.920000,8.920000,2372400
2020-01-15,8.960000,9.090000,8.850000,8.940000,8.940000,1995000
2020-01-16,8.990000,9.200000,8.840000,9.110000,9.110000,1312100
2020-01-17,9.090000,9.430000,9.030000,9.370000,9.370000,1387000
2020-01-21,9.000000,9.160000,8.470000,8.590000,8.590000,2908600
2020-01-22,8.650000,8.850000,7.580000,7.600000,7.600000,4218100
2020-01-23,7.590000,7.980000,7.590000,7.935000,7.935000,4015000
2020-01-24,7.930000,8.180000,7.655000,7.720000,7.720000,2985800
2020-01-27,7.300000,7.830000,7.080000,7.600000,7.600000,4362800
2020-01-28,7.700000,8.090000,7.680000,7.990000,7.990000,2861500
2020-01-29,7.990000,8.230000,7.840000,8.000000,8.000000,2019100
2020-01-30,7.800000,8.130000,7.570000,8.080000,8.080000,2821100
2020-01-31,8.000000,8.150000,7.925000,8.090000,8.090000,1928200
2020-02-03,8.080000,8.300000,8.040000,8.250000,8.250000,1920900
2020-02-04,8.420000,8.470000,8.100000,8.140000,8.140000,1604100
2020-02-05,8.200000,8.300000,7.940000,8.020000,8.020000,1149200
2020-02-06,8.110000,8.390000,8.105000,8.280000,8.280000,1220900
2020-02-07,8.270000,8.620000,8.110000,8.590000,8.590000,1515700
2020-02-10,8.560000,8.850000,8.505000,8.850000,8.850000,1102100
2020-02-11,8.920000,8.925000,8.460000,8.500000,8.500000,1545700
2020-02-12,8.600000,8.710000,8.510000,8.530000,8.530000,1451900
2020-02-13,8.480000,8.587000,8.400000,8.450000,8.450000,634000
2020-02-14,8.470000,8.990000,8.440000,8.760000,8.760000,1265700
2020-02-18,8.830000,8.880000,8.130000,8.330000,8.330000,984800
2020-02-19,8.380000,8.510000,8.055000,8.090000,8.090000,847300
2020-02-20,8.110000,8.330000,8.020000,8.160000,8.160000,1351000
2020-02-21,8.140000,8.140000,8.010000,8.070000,8.070000,1051000
2020-02-24,7.840000,7.950000,7.570000,7.900000,7.900000,785300
2020-02-25,7.940000,8.060000,7.805000,7.900000,7.900000,558900
2020-02-26,7.920000,8.120000,7.910000,7.980000,7.980000,681900
2020-02-27,7.900000,8.020000,7.390000,7.790000,7.790000,1614500
2020-02-28,7.440000,7.770000,7.400000,7.770000,7.770000,1168600
2020-03-02,7.830000,7.990000,7.570000,7.800000,7.800000,705400
2020-03-03,7.850000,8.070000,7.800000,7.980000,7.980000,1661300
2020-03-04,8.100000,8.280000,8.030000,8.160000,8.160000,484200
2020-03-05,8.080000,8.230000,7.920000,8.020000,8.020000,394100
2020-03-06,7.820000,8.040000,7.310000,7.560000,7.560000,1016300
2020-03-09,7.040000,7.780000,6.500000,7.450000,7.450000,1570600
2020-03-10,7.610000,7.750000,7.480000,7.600000,7.600000,562900
2020-03-11,7.400000,7.480000,7.010000,7.290000,7.290000,1098600
2020-03-12,6.900000,7.020000,6.520000,6.910000,6.910000,1277900
2020-03-13,7.030000,7.710000,6.890000,7.710000,7.710000,1265300
2020-03-16,6.700000,7.390000,6.700000,7.370000,7.370000,924800
2020-03-17,7.390000,7.940000,7.020000,7.870000,7.870000,772200
2020-03-18,7.500000,8.100000,7.180000,7.730000,7.730000,1292400
2020-03-19,7.740000,8.200000,7.500000,8.040000,8.040000,1968400
2020-03-20,8.100000,8.200000,7.130000,7.250000,7.250000,1652200
2020-03-23,7.180000,7.480000,6.900000,7.000000,7.000000,599700
2020-03-24,7.480000,8.000000,6.600000,6.690000,6.690000,3270800
2020-03-25,6.750000,7.070000,6.415000,6.670000,6.670000,2313300
2020-03-26,6.680000,6.980000,6.500000,6.860000,6.860000,2091400
2020-03-27,6.700000,6.740000,6.400000,6.610000,6.610000,2021800
2020-03-30,6.740000,6.770000,6.110000,6.240000,6.240000,2013200
