Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2.290000,2.370000,2.212000,2.350000,2.350000,113300
2020-01-03,2.300000,2.500000,2.210000,2.470000,2.470000,105600
2020-01-06,2.470000,2.500000,2.410000,2.490000,2.490000,92400
2020-01-07,2.480000,2.480000,2.370000,2.380000,2.380000,54700
2020-01-08,2.390000,2.490000,2.345000,2.455000,2.455000,67300
2020-01-09,2.470000,2.500000,2.394000,2.490000,2.490000,54100
2020-01-10,2.530000,2.550000,2.450000,2.490000,2.490000,70500
2020-01-13,2.460000,2.461000,2.360000,2.410000,2.410000,36500
2020-01-14,2.480000,2.590000,2.480000,2.520000,2.520000,148900
2020-01-15,2.480000,2.500000,2.450000,2.470000,2.470000,29900
2020-01-16,2.450000,2.550000,2.450000,2.500000,2.500000,40600
2020-01-17,2.580000,2.580000,2.410000,2.470000,2.470000,56500
2020-01-21,2.510000,2.510000,2.330000,2.405000,2.405000,43500
2020-01-22,2.380000,2.430000,2.363000,2.390000,2.390000,23700
2020-01-23,2.350000,2.350000,2.200000,2.250000,2.250000,31400
2020-01-24,2.280000,2.350000,2.100000,2.210000,2.210000,42200
2020-01-27,2.130000,2.190000,2.110000,2.170000,2.170000,13900
2020-01-28,2.160000,2.170000,2.095000,2.128000,2.128000,24700
2020-01-29,2.090000,2.170000,2.070000,2.100000,2.100000,23300
2020-01-30,2.120000,2.200000,2.070000,2.120000,2.120000,20700
2020-01-31,2.180000,2.180000,2.050000,2.050000,2.050000,10700
2020-02-03,2.050000,2.100000,1.980000,2.000000,2.000000,58200
2020-02-04,1.980000,2.125000,1.980000,2.080000,2.080000,34400
2020-02-05,2.050000,2.110000,2.000000,2.000000,2.000000,35800
2020-02-06,2.055000,2.100000,1.980000,1.980000,1.980000,9000
2020-02-07,2.050000,2.050000,1.980000,2.000000,2.000000,19900
2020-02-10,2.060000,2.060000,1.990000,1.990000,1.990000,18900
2020-02-11,1.990000,2.105000,1.990000,2.050000,2.050000,44100
2020-02-12,2.030000,2.100000,2.000000,2.030000,2.030000,35800
2020-02-13,2.090000,2.090000,1.975000,1.980000,1.980000,42500
2020-02-14,1.970000,1.987000,1.847000,1.920000,1.920000,130100
2020-02-18,1.890000,1.954000,1.770000,1.850000,1.850000,55200
2020-02-19,1.920000,1.989000,1.860000,1.870000,1.870000,65700
2020-02-20,1.900000,1.970000,1.846000,1.860000,1.860000,46800
2020-02-21,1.870000,1.980000,1.870000,1.930000,1.930000,38300
2020-02-24,1.840000,1.985000,1.840000,1.880000,1.880000,28500
2020-02-25,1.920000,1.920000,1.817000,1.850000,1.850000,42000
2020-02-26,1.850000,1.920000,1.850000,1.910000,1.910000,42700
2020-02-27,1.834000,1.910000,1.780000,1.910000,1.910000,67200
2020-02-28,1.845000,1.850000,1.760000,1.818000,1.818000,47600
2020-03-02,1.840000,1.840000,1.750000,1.770000,1.770000,42800
2020-03-03,1.770000,1.770000,1.733000,1.760000,1.760000,106600
2020-03-04,1.760000,1.850000,1.760000,1.837000,1.837000,89300
2020-03-05,1.850000,1.850000,1.800000,1.840000,1.840000,20200
2020-03-06,1.850000,1.850000,1.782000,1.782000,1.782000,7100
2020-03-09,1.760000,1.840000,1.720000,1.720000,1.720000,85600
2020-03-10,1.700000,1.720000,1.500000,1.640000,1.640000,87700
2020-03-11,1.600000,1.735000,1.600000,1.650000,1.650000,19100
2020-03-12,1.540000,1.540000,1.055000,1.160000,1.160000,108400
2020-03-13,1.250000,1.290000,1.100000,1.100000,1.100000,45400
2020-03-16,1.020000,1.070000,0.880000,1.000000,1.000000,142300
2020-03-17,1.000000,1.120000,1.000000,1.040000,1.040000,64300
2020-03-18,0.971000,1.093000,0.971000,1.030000,1.030000,44400
2020-03-19,1.000000,1.350000,1.000000,1.320000,1.320000,92600
2020-03-20,1.270000,1.320000,1.110000,1.110000,1.110000,43100
2020-03-23,1.110000,1.190000,1.110000,1.130000,1.130000,39700
2020-03-24,1.140000,1.440000,1.140000,1.270000,1.270000,74700
2020-03-25,1.220000,1.415000,1.150000,1.150000,1.150000,84000
2020-03-26,1.230000,1.230000,1.100000,1.100000,1.100000,99100
2020-03-27,1.150000,1.150000,1.020000,1.020000,1.020000,78400
2020-03-30,1.020000,1.070000,1.010000,1.060000,1.060000,31200
