Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5.980000,6.100000,5.929000,6.050000,6.050000,69700
2020-01-03,6.000000,6.000000,5.915000,5.980000,5.980000,33900
2020-01-06,5.980000,6.100000,5.980000,6.090000,6.090000,37800
2020-01-07,6.080000,6.450000,6.070000,6.390000,6.390000,66600
2020-01-08,6.325000,7.100000,6.260000,6.680000,6.680000,142900
2020-01-09,6.750000,7.130000,6.750000,7.110000,7.110000,49600
2020-01-10,7.009000,7.150000,6.991000,7.150000,7.150000,27700
2020-01-13,7.220000,7.300000,7.130000,7.230000,7.230000,35000
2020-01-14,7.250000,7.290000,7.000000,7.120000,7.120000,29600
2020-01-15,7.088000,7.210000,6.970000,6.980000,6.980000,22800
2020-01-16,7.080000,7.110000,6.850000,6.950000,6.950000,28600
2020-01-17,6.950000,6.990000,6.800000,6.900000,6.900000,49200
2020-01-21,6.810000,6.990000,6.810000,6.890000,6.890000,47400
2020-01-22,6.910000,7.100000,6.836000,7.020000,7.020000,63300
2020-01-23,6.920000,7.070000,6.920000,6.990000,6.990000,82300
2020-01-24,6.950000,6.950000,6.459000,6.660000,6.660000,73400
2020-01-27,6.550000,6.750000,6.450000,6.610000,6.610000,68000
2020-01-28,6.670000,6.740000,6.351000,6.630000,6.630000,25500
2020-01-29,6.520000,6.740000,6.460000,6.720000,6.720000,20200
2020-01-30,6.650000,6.750000,6.390000,6.720000,6.720000,65100
2020-01-31,6.540000,6.687000,6.330000,6.380000,6.380000,39600
2020-02-03,6.410000,6.480000,6.270000,6.290000,6.290000,25100
2020-02-04,6.480000,6.480000,6.300000,6.330000,6.330000,19800
2020-02-05,6.370000,6.370000,6.020000,6.060000,6.060000,20700
2020-02-06,6.070000,6.280000,6.050000,6.100000,6.100000,13900
2020-02-07,6.130000,6.140000,5.960000,6.070000,6.070000,10900
2020-02-10,6.110000,6.350000,5.970000,6.080000,6.080000,141400
2020-02-11,6.140000,6.160000,6.044000,6.150000,6.150000,12700
2020-02-12,6.130000,6.220000,6.070000,6.070000,6.070000,10500
2020-02-13,6.150000,6.270000,5.920000,6.000000,6.000000,19900
2020-02-14,6.090000,6.119000,5.980000,6.040000,6.040000,14000
2020-02-18,6.060000,6.100000,5.840000,5.890000,5.890000,31700
2020-02-19,5.900000,5.937000,5.880000,5.900000,5.900000,14500
2020-02-20,5.950000,5.992000,5.900000,5.940000,5.940000,32100
2020-02-21,5.900000,5.960000,5.860000,5.900000,5.900000,8000
2020-02-24,5.750000,5.870000,5.600000,5.640000,5.640000,29000
2020-02-25,5.674000,5.760000,5.668000,5.730000,5.730000,15700
2020-02-26,5.800000,5.810000,5.600000,5.740000,5.740000,26800
2020-02-27,5.610000,5.770000,5.610000,5.610000,5.610000,19400
2020-02-28,5.560000,5.810000,5.487000,5.545000,5.545000,43000
2020-03-02,5.670000,5.890000,5.595000,5.760000,5.760000,48100
2020-03-03,5.900000,6.050000,5.830000,5.900000,5.900000,64800
2020-03-04,6.250000,6.950000,5.940000,6.010000,6.010000,62800
2020-03-05,6.460000,6.560000,5.840000,6.040000,6.040000,12100
2020-03-06,6.000000,6.205000,5.775000,6.020000,6.020000,42300
2020-03-09,5.580000,5.720000,5.310000,5.430000,5.430000,72100
2020-03-10,5.750000,5.870000,5.510000,5.620000,5.620000,33600
2020-03-11,5.460000,5.590000,5.280000,5.290000,5.290000,44700
2020-03-12,4.750000,5.400000,4.325000,5.400000,5.400000,64000
2020-03-13,5.830000,5.850000,5.030000,5.130000,5.130000,27300
2020-03-16,4.840000,5.030000,4.560000,4.780000,4.780000,56500
2020-03-17,4.650000,4.810000,4.440000,4.590000,4.590000,24900
2020-03-18,4.440000,4.800000,3.720000,4.800000,4.800000,228100
2020-03-19,4.610000,4.680000,4.300000,4.590000,4.590000,32600
2020-03-20,4.460000,4.770000,4.210000,4.250000,4.250000,69800
2020-03-23,4.140000,4.610000,3.460000,3.850000,3.850000,67800
2020-03-24,3.860000,4.390000,3.850000,3.880000,3.880000,79400
2020-03-25,4.100000,4.120000,3.820000,3.850000,3.850000,49900
2020-03-26,3.930000,4.000000,3.842000,4.000000,4.000000,22600
2020-03-27,3.710000,3.800000,3.710000,3.750000,3.750000,36300
2020-03-30,3.800000,3.800000,3.708000,3.760000,3.760000,23100
