Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.160000,6.780000,5.980000,6.240000,6.240000,39100
2020-01-03,6.070000,6.470000,6.000000,6.200000,6.200000,26200
2020-01-06,6.320000,6.320000,6.130000,6.130000,6.130000,6400
2020-01-07,6.010000,7.150000,6.010000,6.930000,6.930000,54800
2020-01-08,6.950000,7.250000,6.200000,6.380000,6.380000,50900
2020-01-09,6.530000,6.910000,6.450000,6.500000,6.500000,37000
2020-01-10,6.700000,6.890000,6.220000,6.560000,6.560000,28600
2020-01-13,6.700000,6.760000,6.210000,6.440000,6.440000,27100
2020-01-14,6.260000,6.460000,6.260000,6.460000,6.460000,5600
2020-01-15,6.450000,6.550000,6.440000,6.450000,6.450000,8500
2020-01-16,6.570000,6.860000,6.310000,6.530000,6.530000,34000
2020-01-17,7.060000,7.060000,6.460000,6.630000,6.630000,35100
2020-01-21,6.650000,6.980000,6.500000,6.920000,6.920000,54800
2020-01-22,7.170000,7.200000,6.720000,7.000000,7.000000,48900
2020-01-23,7.190000,7.190000,6.000000,6.700000,6.700000,661200
2020-01-24,6.640000,7.060000,6.290000,6.630000,6.630000,51700
2020-01-27,7.020000,7.070000,6.560000,7.000000,7.000000,334900
2020-01-28,6.930000,8.050000,6.610000,8.000000,8.000000,258500
2020-01-29,8.100000,8.700000,6.750000,7.150000,7.150000,1202600
2020-01-30,7.140000,7.420000,6.040000,6.310000,6.310000,946700
2020-01-31,6.210000,6.520000,5.550000,5.550000,5.550000,132700
2020-02-03,5.610000,5.840000,5.330000,5.550000,5.550000,85900
2020-02-04,5.660000,5.770000,5.310000,5.620000,5.620000,106300
2020-02-05,5.610000,5.620000,5.320000,5.530000,5.530000,41100
2020-02-06,5.510000,5.690000,5.330000,5.430000,5.430000,19000
2020-02-07,5.380000,5.510000,5.310000,5.470000,5.470000,18100
2020-02-10,5.470000,5.470000,5.320000,5.350000,5.350000,19600
2020-02-11,5.400000,5.590000,5.320000,5.460000,5.460000,30000
2020-02-12,5.520000,5.820000,5.490000,5.610000,5.610000,29100
2020-02-13,5.610000,6.100000,5.540000,5.630000,5.630000,34500
2020-02-14,5.680000,6.060000,5.680000,6.030000,6.030000,147800
2020-02-18,6.000000,7.200000,5.780000,7.200000,7.200000,2144000
2020-02-19,6.960000,7.190000,6.330000,6.900000,6.900000,1579800
2020-02-20,6.760000,7.500000,6.710000,7.160000,7.160000,54300
2020-02-21,7.080000,7.080000,6.220000,6.760000,6.760000,1944800
2020-02-24,6.550000,6.840000,6.380000,6.600000,6.600000,1242400
2020-02-25,6.590000,7.040000,6.510000,6.740000,6.740000,59700
2020-02-26,6.740000,6.900000,6.620000,6.680000,6.680000,29700
2020-02-27,6.630000,6.750000,6.000000,6.550000,6.550000,3205900
2020-02-28,6.450000,6.680000,6.250000,6.510000,6.510000,31700
2020-03-02,6.470000,6.870000,6.030000,6.780000,6.780000,2401500
2020-03-03,6.720000,7.350000,6.550000,7.010000,7.010000,378700
2020-03-04,7.090000,7.460000,6.050000,6.170000,6.170000,1528600
2020-03-05,6.180000,6.560000,6.110000,6.180000,6.180000,139600
2020-03-06,6.090000,6.340000,5.950000,6.080000,6.080000,93700
2020-03-09,5.840000,5.860000,5.410000,5.700000,5.700000,93200
2020-03-10,5.910000,6.240000,5.860000,6.100000,6.100000,130800
2020-03-11,6.060000,6.550000,6.000000,6.550000,6.550000,64700
2020-03-12,6.270000,6.700000,6.010000,6.330000,6.330000,197900
2020-03-13,6.380000,6.510000,6.030000,6.390000,6.390000,60100
2020-03-16,5.810000,7.200000,5.310000,6.710000,6.710000,967200
2020-03-17,6.550000,6.820000,5.890000,6.400000,6.400000,148100
2020-03-18,6.100000,6.490000,5.610000,5.900000,5.900000,44900
2020-03-19,5.940000,6.360000,5.380000,5.780000,5.780000,85700
2020-03-20,5.940000,6.200000,5.620000,6.100000,6.100000,49700
2020-03-23,6.100000,6.140000,5.550000,5.940000,5.940000,80000
2020-03-24,5.970000,6.750000,5.570000,6.560000,6.560000,1854000
2020-03-25,6.270000,6.760000,6.010000,6.320000,6.320000,96000
2020-03-26,5.960000,6.930000,5.880000,6.770000,6.770000,217300
2020-03-27,6.900000,6.940000,6.510000,6.700000,6.700000,64200
2020-03-30,6.410000,6.740000,6.210000,6.350000,6.350000,54000
