Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,4.640000,4.750000,4.430000,4.480000,4.480000,115700
2020-01-03,4.420000,5.490000,4.420000,5.050000,5.050000,358900
2020-01-06,4.810000,5.390000,4.810000,5.270000,5.270000,215200
2020-01-07,5.170000,5.380000,5.025000,5.210000,5.210000,146500
2020-01-08,5.000000,5.467000,5.000000,5.150000,5.150000,201700
2020-01-09,5.000000,5.580000,5.000000,5.310000,5.310000,309200
2020-01-10,5.270000,5.600000,5.230000,5.460000,5.460000,323000
2020-01-13,5.490000,5.680000,5.390000,5.540000,5.540000,227000
2020-01-14,5.520000,5.750000,5.520000,5.640000,5.640000,185700
2020-01-15,5.570000,5.680000,5.420000,5.550000,5.550000,206200
2020-01-16,5.520000,5.890000,5.320000,5.810000,5.810000,121000
2020-01-17,5.750000,5.850000,5.620000,5.660000,5.660000,200700
2020-01-21,5.550000,5.600000,5.150000,5.210000,5.210000,127300
2020-01-22,5.230000,5.414000,5.210000,5.220000,5.220000,106000
2020-01-23,5.180000,5.260000,5.050000,5.160000,5.160000,68500
2020-01-24,5.130000,5.651000,5.050000,5.140000,5.140000,47900
2020-01-27,5.050000,5.350000,5.000000,5.340000,5.340000,93800
2020-01-28,5.320000,5.540000,5.250000,5.290000,5.290000,79600
2020-01-29,5.310000,5.630000,5.250000,5.580000,5.580000,52600
2020-01-30,5.400000,5.580000,5.310000,5.510000,5.510000,68600
2020-01-31,5.440000,5.440000,5.050000,5.140000,5.140000,44900
2020-02-03,5.140000,5.213000,4.880000,5.140000,5.140000,75100
2020-02-04,5.140000,5.290000,5.060000,5.090000,5.090000,102300
2020-02-05,5.010000,5.360000,5.010000,5.170000,5.170000,105200
2020-02-06,5.110000,5.150000,4.830000,4.930000,4.930000,143500
2020-02-07,4.890000,5.150000,4.710000,4.840000,4.840000,52100
2020-02-10,4.760000,5.040000,4.700000,4.860000,4.860000,52100
2020-02-11,4.960000,5.290000,4.840000,4.950000,4.950000,98500
2020-02-12,5.000000,5.065000,4.883000,5.000000,5.000000,32700
2020-02-13,4.920000,5.060000,4.850000,4.850000,4.850000,32500
2020-02-14,4.860000,4.863000,4.500000,4.500000,4.500000,69600
2020-02-18,4.630000,4.664000,4.257000,4.320000,4.320000,52200
2020-02-19,4.340000,4.370000,4.170000,4.180000,4.180000,63400
2020-02-20,4.250000,4.250000,4.120000,4.170000,4.170000,66800
2020-02-21,4.170000,4.410000,4.120000,4.200000,4.200000,80900
2020-02-24,4.200000,4.340000,4.110000,4.240000,4.240000,31900
2020-02-25,4.200000,4.272000,4.010000,4.030000,4.030000,35000
2020-02-26,4.000000,4.430000,3.975000,4.190000,4.190000,57900
2020-02-27,4.160000,4.250000,4.050000,4.100000,4.100000,27300
2020-02-28,4.050000,4.173000,3.900000,4.150000,4.150000,122800
2020-03-02,4.220000,4.520000,4.170000,4.520000,4.520000,71600
2020-03-03,4.490000,4.500000,4.180000,4.450000,4.450000,62600
2020-03-04,4.440000,4.440000,4.060000,4.300000,4.300000,42000
2020-03-05,4.290000,4.400000,4.010000,4.380000,4.380000,50600
2020-03-06,4.480000,4.500000,3.920000,4.270000,4.270000,122700
2020-03-09,4.010000,4.200000,4.010000,4.120000,4.120000,42300
2020-03-10,4.170000,4.220000,3.330000,3.670000,3.670000,188800
2020-03-11,3.680000,4.110000,3.550000,3.850000,3.850000,72400
2020-03-12,3.700000,3.700000,3.350000,3.440000,3.440000,66700
2020-03-13,3.460000,4.000000,3.450000,3.520000,3.520000,82700
2020-03-16,3.410000,3.800000,3.030000,3.650000,3.650000,80300
2020-03-17,3.670000,3.800000,2.750000,3.700000,3.700000,118300
2020-03-18,3.550000,3.800000,3.010000,3.290000,3.290000,86600
2020-03-19,3.250000,3.500000,3.250000,3.300000,3.300000,32100
2020-03-20,3.250000,3.350000,3.160000,3.190000,3.190000,19200
2020-03-23,3.100000,3.600000,2.920000,3.150000,3.150000,70800
2020-03-24,3.190000,3.800000,2.910000,3.570000,3.570000,166000
2020-03-25,3.520000,3.700000,3.180000,3.700000,3.700000,84300
2020-03-26,3.600000,3.780000,3.560000,3.610000,3.610000,45800
2020-03-27,3.550000,3.760000,3.400000,3.710000,3.710000,43200
2020-03-30,3.700000,3.709000,3.380000,3.450000,3.450000,12100
